36	3	24	10	10	11
1	47	40	24		
2	6	40	24		
3	46	16	24		
4	14	43	24		
5	6	44	24		
6	26	50	24		
7	45	29	24		
8	34	23	24		
9	35	24	24		
10	31	2	24		
11	30	21	24		
12	36	49	24		
13	41	41	24		
14	8	34	24		
15	46	31	24		
16	13	43	24		
17	16	10	6		
18	14	4	5		
19	36	45	6		
20	43	40	6		
21	45	27	4		
22	19	28	4		
23	44	34	6		
24	20	11	4		
25	38	42	6		
26	39	0	4		
27	11	3	4		
28	26	9	6		
29	37	25	6		
30	39	50	5		
31	13	29	6		
32	6	35	5		
33	45	31	5		
34	49	46	6		
35	5	12	4		
36	28	14	5		
37	33	15			
38	19	25			
39	18	30			
