36	3	24	10	10	11
1	35	29	24		
2	6	38	24		
3	25	29	24		
4	8	39	24		
5	43	40	24		
6	50	12	24		
7	16	25	24		
8	45	4	24		
9	36	11	24		
10	6	7	24		
11	28	49	24		
12	34	5	24		
13	50	2	24		
14	45	20	24		
15	20	21	24		
16	26	16	24		
17	2	25	6		
18	40	21	4		
19	25	12	6		
20	16	16	5		
21	42	10	5		
22	12	27	6		
23	15	18	6		
24	8	8	5		
25	46	30	5		
26	38	46	5		
27	21	3	4		
28	44	22	6		
29	32	11	4		
30	6	39	5		
31	31	20	4		
32	40	33	4		
33	37	7	4		
34	37	49	5		
35	17	27	6		
36	1	40	6		
37	41	3			
38	22	25			
39	2	37			
