36	3	24	10	10	12
1	46	30	24		
2	19	32	24		
3	23	48	24		
4	28	29	24		
5	23	0	24		
6	35	37	24		
7	39	4	24		
8	8	7	24		
9	2	16	24		
10	49	48	24		
11	24	45	24		
12	43	18	24		
13	22	47	24		
14	9	1	24		
15	49	7	24		
16	15	13	24		
17	28	15	7		
18	6	48	7		
19	23	2	8		
20	25	22	9		
21	48	14	7		
22	37	18	9		
23	39	41	8		
24	22	23	7		
25	44	15	8		
26	44	46	9		
27	32	10	8		
28	0	19	8		
29	27	9	8		
30	37	36	9		
31	25	35	8		
32	21	14	8		
33	7	46	7		
34	44	38	8		
35	12	6	8		
36	46	9	9		
37	31	1			
38	30	22			
39	19	30			
