36	3	24	10	10	12
1	30	3	24		
2	43	15	24		
3	0	33	24		
4	41	17	24		
5	12	4	24		
6	7	47	24		
7	29	22	24		
8	13	25	24		
9	0	3	24		
10	25	23	24		
11	35	12	24		
12	22	31	24		
13	20	23	24		
14	5	29	24		
15	24	18	24		
16	0	10	24		
17	43	38	7		
18	30	46	9		
19	28	39	8		
20	32	50	9		
21	35	5	7		
22	49	46	8		
23	6	21	8		
24	41	34	9		
25	16	41	7		
26	38	42	7		
27	27	0	9		
28	0	3	8		
29	31	24	9		
30	46	50	7		
31	25	28	8		
32	7	15	8		
33	16	19	9		
34	38	43	7		
35	1	10	8		
36	31	31	8		
37	38	11			
38	27	24			
39	1	39			
			
