36	3	24	10	10	12
1	17	23	24		
2	17	30	24		
3	28	32	24		
4	34	7	24		
5	43	10	24		
6	47	43	24		
7	11	11	24		
8	39	43	24		
9	19	0	24		
10	47	41	24		
11	20	34	24		
12	45	45	24		
13	35	44	24		
14	45	32	24		
15	49	36	24		
16	43	25	24		
17	47	15	8		
18	47	11	8		
19	19	26	7		
20	8	20	8		
21	6	41	9		
22	23	47	9		
23	14	14	8		
24	5	46	8		
25	4	40	9		
26	42	8	7		
27	24	47	8		
28	46	40	7		
29	33	50	9		
30	22	3	8		
31	16	4	9		
32	41	46	7		
33	0	1	8		
34	45	41	9		
35	48	4	7		
36	4	47	8		
37	48	3			
38	22	24			
39	24	35			
