36	3	24	10	10	10
1	25	41	24		
2	10	10	24		
3	50	18	24		
4	32	14	24		
5	6	43	24		
6	20	14	24		
7	33	20	24		
8	18	44	24		
9	24	9	24		
10	0	43	24		
11	23	32	24		
12	19	31	24		
13	6	8	24		
14	47	7	24		
15	39	37	24		
16	21	35	24		
17	14	24	5		
18	32	7	6		
19	27	50	4		
20	37	21	5		
21	49	40	4		
22	18	43	6		
23	50	0	4		
24	17	38	5		
25	9	23	5		
26	41	15	6		
27	44	29	5		
28	12	6	4		
29	20	45	4		
30	8	36	5		
31	19	1	5		
32	35	10	4		
33	47	39	4		
34	42	22	4		
35	50	36	4		
36	21	15	4		
37	48	12			
38	18	25			
39	12	30			
