32	3	24	10	10	11
1	49	40	24		
2	28	7	24		
3	5	19	24		
4	44	32	24		
5	48	23	24		
6	49	34	24		
7	3	26	24		
8	14	15	24		
9	26	13	24		
10	45	0	24		
11	2	1	24		
12	13	49	24		
13	9	21	24		
14	19	20	24		
15	41	38	24		
16	45	38	24		
17	44	13	8		
18	0	1	8		
19	39	34	7		
20	32	50	7		
21	0	21	7		
22	23	22	7		
23	39	13	9		
24	7	37	9		
25	12	17	8		
26	11	21	9		
27	31	7	8		
28	9	33	8		
29	9	6	8		
30	17	44	7		
31	19	41	8		
32	43	6	8		
33	45	6			
34	32	28			
35	11	36			
			
